tconst,originalTitle,isAdult,startYear,runtimeMinutes,averageRating,numVotes,title,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,poster_url,original_language
tt0035423,Kate & Leopold,0,2001,118,6.4,83647,Kate et Léopold,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,en
tt0052646,The Brain That Wouldn't Die,0,1962,82,4.4,6936,Le cerveau qui ne voulait pas mourir,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,en
tt0053279,Le signe du lion,0,1962,103,7.2,2060,Le signe du lion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,fr
tt0054130,La notte,0,1961,122,8.0,20737,La Nuit,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0054156,Paris nous appartient,0,1961,141,6.7,2376,Paris nous appartient,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,en
tt0054177,Le petit soldat,0,1963,88,7.1,7157,Le Petit Soldat,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,fr
tt0054225,La ragazza con la valigia,0,1961,121,7.5,2018,La fille à la valise,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,it
tt0054395,Die toten Augen von London,0,1961,104,6.4,1114,Les mystères de Londres,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,
tt0054425,Un taxi pour Tobrouk,0,1961,95,7.2,1902,Un taxi pour Tobrouk,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,fr
tt0054594,The Absent Minded Professor,0,1961,92,6.7,8288,Monte là-dessus,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,en
tt0054599,Accattone,0,1961,117,7.7,8682,Accatone,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,it
tt0054601,Ada,0,1961,109,6.6,1027,Le troisième homme était une femme,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,en
tt0054614,All Night Long,0,1962,91,7.0,1283,Tout au long de la nuit,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,en
tt0054632,L'année dernière à Marienbad,0,1961,94,7.7,22376,L'année dernière à Marienbad,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,fr
tt0054640,L'assassino,0,1961,97,7.0,1218,L'assassin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,it
tt0054642,Atlantis: The Lost Continent,0,1961,90,5.5,1840,"Atlantis, terre engloutie",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,en
tt0054649,Babes in Toyland,0,1961,106,6.1,4172,Le pays des jouets,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0054652,Bachelor in Paradise,0,1961,109,6.3,1624,L'Américaine et l'Amour,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,en
tt0054653,Back Street,0,1961,107,6.6,1153,Histoire d'un amour,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,en
tt0054665,Baron Prásil,0,1962,83,7.7,2488,Le baron de crac,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,cs
tt0054692,Blue Hawaii,0,1961,102,6.0,6178,Sous le ciel bleu d'Hawaï,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,en
tt0054698,Breakfast at Tiffany's,0,1961,115,7.6,177095,Diamants sur canapé,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,en
